id,sentence,label
663_3,"""Please enable removing language code from the Dev Center ""language history"" For example if you ever selected ""ru"" and ""ru-ru"" laguages and you published this xap to the Store then it causes Tile localization to show the en-us(default) tile localization which is bad.""",1
663_4,"""Note: in your .csproj file, there is a SupportedCultures entry like this: <SupportedCultures>de-DE;ru;ru-RU </SupportedCultures> When I removed the ""ru"" language code and published my new xap version, the old xap version still remains in the Store with ""Replaced and unpublished"".""",0
664_1,"""Wich means the new version not fully replaced the old version and this causes me very serious problems: 1.""",0
664_2,"""Some of my users will still receive the old xap version of my app.""",0
664_3,"""The store randomly gives the old xap or the new xap version of my app.""",0
664_4,"""My app has a WP7 version and a WP8 version XAP in the same submission.""",0
664_5,"""The wp7 xap works only on WP7 and the wp8 xap works only for WP8.""",0
665_1,"""Sometimes the Store gives the wrong wp7 xap version of my app to Windows Phone 8 users.""",0
665_2,"""It should be an option to remove the ""ru"" language code from my app 'language History' or an option to completly replace: Fully replace the prevoius(es) xap(s).""",1
665_3,"""Currently if you ever mistakenly selected a ""ru"" language than you will be in a very bad situation forever: - You can live with the wrong Tile displayed for Russian language in the Store (the english one) or - You can publish an update with the removed ""ru"" language, but this update will not ""fully replace"" the old version and you will in truble: 1.)""",0
665_5,"""): the store will randomly deliver the old/wrong version of your xap.""",0
665_6,"""I write a lot support ticket on this, but no one really cares on this issue.""",0
665_7,"""The engineering team can solve this issue if they do one of the following: 1.""",0
665_8,"""Provide a workaround for removing the ""ru"" language from the language history (I have no need for ""ru"" culture just for ""ru-ru"", but there is no way to remove ""ru"" from the language history if you ever posted your app with ""ru"" language support) 2.""",1
665_9,"""Or add and implement an AppResLib.dll.xxxx.mui for the ""ru"" language culture In the documentation AppResLib.dll.xxxx.mui exist only for ""ru-ru"" and not for ""ru"" culture: http://msdn.microsoft.com/en-us/library/windowsphone/develop/ff967550(v=vs.105).aspx Thanks, Tom Please enable removing language code from the Dev Center ""language history"" For example if you ever selected ""ru"" and ""ru-ru"" laguages and you published this xap to the Store then it causes Tile localization to show the en-us(default) tile localization which is bad.""",1
665_10,"""Wich means the new version not fully replaced the old version and this causes me very serious___ more""",0
666_1,"""When I driving my car and need to make call at 99% of times the phone use vocal commands for starting bing search instead of call contact.""",0
667_1,"""But if I press power button and unlock device and open phone and say ""call <person name, device start calling correctly!""",0
667_2,"""This in driving mode activated.""",0
667_3,"""Also in italian translation, after reading sms, the device say ""fatto"" for ending operation but work only if I say ""ho finito"".""",0
667_4,"""If I say ""fatto"" vocal command unrecognized!""",0
667_5,"""Other little bugs: with my lumia 820 before first WP8 upgrade work fine with vocal commands but from first upgrade to now is bad.""",0
667_6,"""Don't recognize commands.""",0
667_7,"""But my old wp7 work fine using same bt sony car stereo!""",0
667_8,"""Other little bugs: with my lumia 820 before first WP8 upgrade work fine with vocal commands but from___ more""",0
667_9,"""Outlook color schemes.""",0
667_10,"""Settings, current live tile Size , and More""",0
667_11,"""Open the network + settings and tap on call settings.""",0
667_12,"""Hit the power button to go to sleep mode.""",0
667_13,"""Wait for 15-20 minutes and switch on the mobile again.""",0
667_14,"""The window will be blank with only heading on it.""",0
667_15,"""100% reproducible on Lumia 920 cyan update.""",0
668_1,"""I always use this feature, please fix ASAP.""",1
668_2,"""Seems there is an issue with the sd card in WP 8.1 Preview.""",0
669_1,"""Its getting annoying.Please fix this.""",1
669_2,"""I've been working on an LOB for my field of engineering (civil/structural).""",0
669_3,"""The point is to make the app universal across devices so that our engineers do not have to spend too much time learning and relearning the controls.""",0
669_4,"""And because the same app runs on tablets and PC's, our engineers can work in the field, come back to their office, and continue working with the same data on their PC's.""",0
670_1,"""Because of windows 8.1 and windows phone 8.1 universal app, I am hoping to adapt the app to windows phone as well.""",0
671_1,"""All the saved and live data are saved on onedrive to allow roaming between the devices.""",0
672_1,"""But I've found that windows phone 8.1 file picker does not have access to onedrive and there is no futureaccesslist.""",0
672_2,"""This aspect alone prevents any adaptation of my app to the windows phone platform.""",0
672_3,"""Please allow windows phone 8.1 file/folder picker to have access to onedrive and store the location in futureaccesslist.""",1
673_1,"""Also, please allow onedrive folder to be stored locally like winrt.""",1
673_2,"""Otherwise, it's not a real universal app.""",0
673_3,"""All the saved and live data are___ more""",0
674_1,"""So far i have tried three different apps and I cannot access my pre windows phone 8.1 photos.""",0
674_2,"""This needs fixing as a number 1 priority.""",1
674_3,"""It would be nice to give developers the option put a payment on hold when they reach the appropriate threshold and have the option to put it on top of the next due payment when they reach the threshold after that.""",1
675_1,"""in wp8.1 dev preview theres a bug with the push service.""",0
676_1,"""when i__m on mobile data connection, i get all my notifications, when i__m on wifi there is no connection to the push server.""",0
676_2,"""no i found a workaround for myself, when i turn off the mobile data connection manually the push over wifi works.""",0
676_3,"""but on wp 8.0 gdr 3, the system recognized automaticly wich connection i__m using and turn the push service automaticly on cellular or on wifi.""",0
676_4,"""everytime it works, with wp 8.1 dev preview it doesn__t.""",0
676_5,"""When I try to insert a new Bank Account I receive an error because there is a validation that the Bank Account should be in the same Country of my account.""",0
676_6,"""I think this is not correct, because using Paypal I can receive money in another country but I don't want pay extra costs for Paypal and also i can insert my tax plan in a country different of my country in my account.""",0
676_7,"""Please remove that validation or validate according with my tax plan and not my country in the account.""",1
676_8,""": there is another post that I voted because I can't change the country in my account.""",0
676_9,""": there is another post that I voted___ more""",0
676_10,"""I did a report on in app purchases today and noticed that every line item shows an app version of 1.0.0 - which most certainly is not the case.""",0
676_11,"""Make Bing Vision lens in the camera app pinnable to Start for quick access again and/or add it to the Cortana screen, to the left of the Music Search button perhaps.""",0
676_12,"""In Windows Phone 8 we were able directly access facebook through the people hub.""",0
677_1,"""Comment on photos, write on walls without having to enter the facebook app.""",0
679_1,"""We were also able to switch between text messages and Facebook messages on the fly.""",0
679_2,"""Now with WIndows Phone 8.1 the app ALWAYS has to open.""",0
679_3,"""On my Lumia 920 it takes significantly longer to do that now.""",0
680_1,"""IT'S SLOW!!!!""",0
680_2,"""Please bring back the simplicity and efficiency of Windows Phone!""",1
680_3,"""While I was building a web application, I've noticed that single page applications with this url: http://www.contoso.com/!#/ will display blank page and only a refresh will load the page again can you please check that?""",1
680_4,"""It would be great if you would add a RemoteId to the calendars.""",1
680_5,"""appointments have a RemoteId but calendars don't.""",0
681_1,"""It would be easier to sync calendars if they have a RemoteId like appointments.""",0
681_2,"""When the application is unpublished by Microsoft, the reason in sent by email.""",0
681_3,"""When the email is not received (like in my case) the developer doesn't know the reason.""",0
681_4,"""However this can be easily fixed by writing it in Dev Center.""",0
681_5,"""In WinRT, the TileBrush class is missing the TileMode and View* properties that are present in other frameworks like WPF and Silverlight.""",0
681_6,"""Please add these properties so that we can support image tiling properly.""",1
681_7,"""There are tons of requests for this over the past years.""",0
681_8,"""See this thread for an example: http://social.msdn.microsoft.com/Forums/windowsapps/en-US/bb5aa859-e3d1-46f2-a661-d4bdbee9a1f2/windowsuixamlmediaimagebrush?forum=winappswithcsharp""",0
681_9,"""The Lockscreen text attribute should be separated out from Tile attributes.""",1
681_10,"""To provide lockscreen text its necessary to use the WideBackContent attribute on the Flip tile.""",0
681_11,"""But - if you have generated a custom tile and/or you don't want the tile to flip, then you cannot use the lockscreen text feature.""",0
682_1,"""I'm trying to use the API for Contacts in the namespace Windows.ApplicationModel.Contacts, but it doesn't work as expected.""",0
682_2,"""First of all, on Windows Phone 8.1 I always get an IOException when trying to call PickContactAsync().""",0
682_3,"""This is very strange, since I was expecting to see at least Contacts app to be launched, seems there's some problem establishing the contract.""",0
683_1,"""I also checked the Contacts permission was enabled on the Package.appxmanifest.""",0
683_2,"""On Windows 8.1 / RT 8.1 che call to the PickContactAsync() works but I receive wrong data instaed, for example: FirstName and LastName are both in FirstName (and LastName is empty), the ImportantDates (e.g.""",0
683_3,"""Birthday) are always set to low values (like 05/05/0004), but if I try to navigate the contacts through Outlook.com or Contacts/People app I can see the right values.""",0
683_4,"""Maybe I'm missing something, but this API seems to be broken.""",0
683_5,"""On Windows 8.1 / RT 8.1 che call to the PickContactAsync() works but I receive wrong data instaed, for example: FirstName and LastName are both in FirstName (and LastName is___ more""",0
683_6,"""Although it is possible to define custom ETW events, and to generate those events, the publicly available tooling does not currently provide a way to get access to these events.""",0
683_7,"""The Windows Phone Developer Power Tools only enable collection of predefined profiles that use certain system events.""",0
683_8,"""There appears to be no way to tell it to collect data from your own custom event sources.""",0
683_9,"""So although in, e.g., .NET-based store apps, the System.Diagnostics.Tracing.EventSource class is available and can be used to generate custom ETW events, there doesn't appear to be any point to this at the moment because you can't actually record those events in a trace!""",0
683_10,"""Just to be clear, this is *not* a duplicate of http://wpdev.uservoice.com/forums/110705-dev-platform/suggestions/3743880-please-provide-etw-logging-from-a-windows-phone-8 - as a reply in that thread points out, you can already log ETW events from a WP8 app.""",0
684_1,"""What I want is the ability to record those alongside system-provided ETW events, so that I can see how my code's activity fits in with system behaviour.""",1
684_2,"""So although in, e.g., .NET-based store apps, the System.Diagnostics.Tracing.EventSource class is available and can be used to generate custom ETW events, there doesn't appear to be any point to this at the moment because you___ more""",0
684_3,"""Please get back the old OneDrive integration to windows phone 8.1.""",1
685_1,"""It used to sync so fast and was able to view the pictures under photo albums easily.""",0
685_2,"""And now the app takes long time to load.""",0
685_3,"""The same happened with Facebook integration.""",0
685_4,"""It used to be good on 7.8.""",0
686_1,"""We could minimize or maximize the pictures but now we can only maximize.""",0
686_2,"""I purchased the windows phone because of the smooth integration but now we are slowly moving towards apps and no OS integration.""",0
687_1,"""Microsoft provide a system event SmsReceived for app to be notified when a SMS received, we also need such event for phone call, such as PhoneReveived...""",0
687_2,"""Moreover, it's better to have read-only API for phone call history, so developer can help to make better phone call related app like Android.""",1
687_3,"""make the mapicon of the windows phone sdk 8.1 able to be on top by the use of zindex make the event tapped accessible for mapicon too""",0
687_4,"""Allow the messaging application to join in the default messaging application (Hub Message) for full interaction.""",1
687_5,"""-applications use the API of the Hub message for send/view/delete/etc... SMS -The message Hub uses the API of others applications for the same thing (send/view/delete/etc... messages).""",0
687_6,"""This means, that the developper have the ablity to implement other application APIs in the message hub and use it""",0
687_7,"""We need Windows Phone to synchronize its clock via the internet.""",1
687_8,"""In some countries this does not work via provider services.""",0
687_9,"""Include an API to add, remove, deactivate tracking protection lists (TPL), to further drive down data usage, enable selective protection against rogue sites tracking, and just having a sense of control.""",1
687_10,"""Just like on desktop IE.""",0
687_11,"""Provide more help with understand text that coming from cortanan.""",1
687_12,"""things i think about is like understanding dates and times.""",0
687_13,"""when planning a new agenda item for example this is done nicely.""",0
687_14,"""Pivot and panorama controls should have options to enable/disable wrapping.""",0
687_15,"""Also the scroll viewer should have options to disable overscrolling effect.""",0
687_16,"""This program don't work on WindowsPhone 8.1 (LiveSDK 5.6) bool connected = false; try { var authClient = new LiveAuthClient(); LiveLoginResult result = await authClient.LoginAsync(new string[] { ""wl.signin"", ""wl.skydrive"" }); if (result.Status == LiveConnectSessionStatus.Connected) { connected = true; var connectClient = new LiveConnectClient(result.Session); var meResult = await connectClient.GetAsync(""me""); dynamic meData = meResult.Result; } } catch (LiveAuthException ex) { // Display an error message. }""",0
687_17,"""catch (LiveConnectException ex) { // Display another error message. }""",0
687_18,"""if I catch a generic Exception, obtain this exception message: Object reference not set to an istance of an object in row : LiveLoginResult result = await authClient.LoginAsync(new string[] { ""wl.signin"", ""wl.skydrive"" }); but authClient is not null.""",0
687_19,"""I Also wrote on MSDN Forum, but I received no reply...""",0
687_20,"""if I catch a generic Exception, obtain this exception message: Object reference not set to an istance of an object in row : LiveLoginResult result =___ more""",0
688_1,"""i can use it to recover my files.""",0
688_2,"""Hoello, with WP8.1 the Silverlight XAP apps are forced to use ""Fast Resume"".""",0
690_1,"""This has broken my app Swipe Tunes as I hastilly submitted a WP8.1 update with Transparent Tile and realised later that fast resume was causing issues with my secondary tiles etc.""",0
690_2,"""Fast resume has pretty much killed my app and I can't delete the WP8.1 XAP from the store, and as such it looks like my app will not be able to go back on the WP Store or if it does it will have to be under a new name and abandon previous customers.""",0
690_3,"""Please cant we have an option in the WPAppManifest file to untick ""fast resume"" and allow WP8.1 apps to not run in fast resume mode just like in WP8?""",1
691_2,"""http://windowsphone.uservoice.com/forums/101801-feature-suggestions/suggestions/6080912-we-want-open-the-app-by-tap-the-quick-status-icon""",0
691_3,"""Allow NFC capable Windows Phones to pay from the Wallet app using NFC at locations where card readers support it.""",1
691_4,"""Google wallet has been able to do this for almost 3 years now.""",0
691_5,"""Just YouTube using Google Wallet at McD.""",0
691_6,"""Support for this would destroy any argument for an apple device because they aren't going to do this any time soon and it would close the gap in functionality between WP and android.""",0
691_7,"""Developers need create/edit document from Windows Store Apps.""",1
691_8,"""Thereby, integrate WinRT apps with Office.""",0
691_9,"""OpenXML SDK Office for WinRT __ Office Primary Interop Assembly Classes for WinRT Win8 applications need to be more productive for businesses!""",0
691_10,"""Microsoft / Pubcenter claims to have interstitials.""",0
691_11,"""However, these are just bigger ad formats and not the interstitials we know from other ad networks.""",0
692_1,"""Interstitials are displayed at a break point in the app / game.""",0
692_2,"""Therefore it is for the app / game developer much more important to have a good fill rate.""",0
692_3,"""Allowing to prefetch an ad allow the developer to optimise his ad strategy.""",0
692_5,"""he is able to show his own house ad when pubcenter can not fill the ad request).""",0
693_1,"""Provide access to CPU & GPU data in C#""",1
693_2,"""I style a part of the page in ""font-style: italic"" and see the font (Segoe UI) is rendered in much bolder style than the rest of the page.""",0
693_3,"""See http://social.msdn.microsoft.com/Forums/windowsapps/en-US/2c0cbd51-ae37-4ab7-a3e4-7e1d7cce8643/segoe-ui-italic-looks-bold?forum=winappswithhtml5 for screenshots of this possible bug""",0
693_4,"""I've seen some suggestions that are close to what we need, but not quite, and are marked as completed.""",0
693_5,"""I don't know why there is no support for current devices to read NFC cards/tags in full at a low level.""",0
693_6,"""Seems deceptive to say that the device has NFC capabilities if in reality it can only read a very specific type of tag.""",0
693_7,"""For one of our products we need to support NFC card reading/writing with existing devices and several types of cards (Mifare, UL, ULC, Calypso, Desfire, maybe even more) I've read that for WP8.1 the functionality will be added but only for devices with a specific NFC chipset which is currently not present in any of the devices.""",0
693_8,"""So please provide the low-level reading/writing functionality for NFC devices already in the field.""",1
693_9,"""For one of our products we need to support NFC card reading/writing with existing devices and several types of cards (Mifare, UL, ULC, Calypso, Desfire, maybe even more) I've read that for WP8.1 the functionality will be___ more""",0
693_10,"""It's supremely annoying while developing to have to go through the certification wait time just to add an in-app purchase product to the dev center.""",0
694_1,"""I'm not sure I can think of a reason that any certification is needed for these; they're merely a price, key, and type.""",0
694_2,"""Please remove the cert process for these and allow them to be added *instantly*""",1
694_3,"""When porting my Windows 8 app to Windows Phone 8, I feel that the Universal App template (which is already awesome) could do some other things to increase even more productivity: 1 - Create Pages and UserControl folders: Let's face it, unless we want to create sh**** apps, we won't have the same UI for all platforms, so we'll end up creating the same pages and controls in BOTH versions.""",0
694_4,"""VS2013 could create those folders in each project and bring in the classes (pages and user controls) from the original project.""",0
695_1,"""I have stated the folder names I use (Pages and UserControls) but the rule could deal with other names as well.""",0
696_1,"""2 - I use SettingsFlyouts and I took some time to replicate them as pages in the Windows Phone project.""",0
697_1,"""That could be automatic too.""",1
697_2,"""3 - Likewise, top and bottom app bars in Windows 8 could be translated into the Windows Phone versions automatically, if for example buttons were found in those controls.""",0
698_1,"""4 - Do the same for Styles.xaml (or whatever file contains Templates and Styles) as done in 1.""",0
698_2,"""I believe that other kinds of automatic measures could be taken, but I only remember these 4 because I ported a very simple app.""",0
700_1,"""I recognize that when Threshold arrives (code matching between Windows and Windows Phone achieves 100%), much of these may not matter anymore, but for the time being these would be nice additions.""",1
700_2,"""I have stated the folder names I use (Pages___ more""",0
701_1,"""I wished that PubCenter had a way of merging apps that I had in both platforms (Windows and Windows Phone), which obviously includes Universal Apps.""",0
702_1,"""When using headphones, music will pause if Cortanta notifies you of an incoming text message.""",0
702_2,"""Music will then continue to play once you respond to the notification.""",0
702_3,"""However, Podacasts do not pause and will continue to play (inaudibly) in the background as you interact with Cortanta.""",0
703_1,"""This is a bug and should be fixed so that ANY media that is playing will be paused if you are interacting with Cortanta.""",1
703_2,"""The trial feature should be built-in with automatic enforcement, user prompting, disabling, etc, just as it is in the Windows Store.""",1
703_3,"""In the Windows store, I can choose trial mode for my app, and then pick the number of days I want the trial to last.""",0
703_4,"""From there, everything is taken care of for me.""",0
703_5,"""If the user uninstalls during a trial, it tracks this fact and prevents them from starting a new trial later.""",0
703_6,"""Contrast this with the Windows Phone world, where the developer indicates trial mode in the store, but has to manually track the number of days since install, whether the user has purchased, etc.""",0
703_7,"""If the user uninstalls and installs again later, the developer has no idea.""",0
703_8,"""Adding trial-mode in Windows Phone feels like implement-and-pray.""",0
704_1,"""I absolutely love the Windows Store implementation.""",0
705_1,"""With the two stores combining, can we bring built-in trial mode support to Windows Phone?""",1
705_2,"""Contrast this with the Windows Phone world, where the developer indicates trial mode in the store, but has to manually track the number of days___ more""",0
706_1,"""You should be able to start an app like the flashlight app directly from the notification center.""",1
706_2,"""Please add recent places to SuggestedStartLocation in FileOpenPicker API.""",1
707_1,"""Some times its hard to navigate few times to same location.""",0
708_1,"""Please provide access to Calendar API to customize the day styles basing upon requirement""",1
709_1,"""It would be much less frustrating for Windows/Windows Phone developers to have hints sent with the certification failed reports, which make it easier to tackle obvious issues that arise because of the restrictions of Windows/ Windows Phone.""",0
709_2,"""It is quite hard to find a solution to something you never heard about before but with the right pointers/keywords it could be done efficiently and nearly effortlessly.""",0
710_1,"""As example for an obvious issue and easy solution, if you know something about the problem: My app failed certification because of dark/light theme problems.""",0
712_1,"""I set the background to a fixed color (black) in the code and in the light theme the font color is set from white to black by Windows Phone automatically, hence no text is readable.""",0
713_1,"""This problem occured at multiple tens of code places in my case.""",0
714_1,"""Adding the following four lines to a report, that probably has been sent out thousands of times, would have saved myself more than an hour of searching for an efficient solution and reading: ---------------------- This might help with Dark/Light theme problems: - - (Visibility)Application.Current.Resources[""PhoneDarkThemeVisibility""]; or similar - (Brush)Application.Current.Resources[""PhoneBackgroundBrush""]; ---------------------- and maybe additional links to documentation It would be much less frustrating for Windows/Windows Phone developers to have hints sent with the certification failed reports, which make it easier to tackle obvious issues that arise because of the restrictions of Windows/ Windows Phone.""",0
714_2,"""I set the background to a fixed color (black)___ more""",0
715_1,"""Closes alone than nothing""",0
715_2,"""Implementing the Auto-Upload feature in a Silverlight 8.1 application causes the application to not be clickable in the Auto Upload settings menu within the phones settings.""",0
715_3,"""For more information see -> http://social.msdn.microsoft.com/Forums/windowsapps/en-US/2ebba203-dae1-409e-940e-14e33b422a21/auto-upload-app-not-launching-in-settings-page?forum=wpdevelop""",0
715_4,"""Please release lock screen api for all developers,treat every devs equally""",1
715_5,"""When creating an app that uses MediaStreamSource to stream audio in Windows Phone 8.0, everything works just great.""",0
715_6,"""When porting this app to Windows Phone 8.1, the sound is flickering and its components are ""stack overflow""-ing.""",0
716_1,"""Here is a discussion on MSDN forums: http://social.msdn.microsoft.com/Forums/wpapps/en-US/37ac0ed7-1884-4251-9914-07fae6467b98/mediastreamsource-not-working-properly-in-windows-phone-81?forum=wpdevelop And here is a sample project source code: https://wp8libflac.codeplex.com/""",0
716_2,"""we are publishing the same apps in Windows Phone Store and Windows App Store.""",0
716_3,"""Now we want to bundle these Apps.""",1
718_1,"""Unfortunately we are not able to set the prices in both marketplace same way.""",0
719_1,"""In Windows App Store we can choose the price tier.""",0
720_1,"""For all countries prices are automatically set.""",0
721_1,"""In Windows Phone Store we are able to set the price for each county separately.""",0
723_1,"""We need this also in Windows App Store because: 1.""",1
723_2,"""Exchange rate between US$ and ___ is too low.""",0
724_1,"""The rate is set to 1-1.""",0
724_2,"""Because we calculate our prices in ___ we have to change the $ price for all countries with $ manually and there are a lot of countries to change.""",0
724_3,"""We are not willing to charge less in US or Canada than in Europe 2.""",0
726_1,"""Change exchange rate between Argentina, Indonesia, South Africa.""",0
727_1,"""The rates are too low, so we have set the values manually 3.""",0
727_2,"""Checkbox to add additional fee of 13.9% on top of the normal Store Fee (percentage of Net Receipts) that is deducted in calculating our Application Proceeds for these markets: Argentina, Chile, Colombia, Costa Rica, Malaysia, Mexico, Peru, South Africa.""",0
727_3,"""This fee applies only to alternative payment methods (e.g.""",0
727_4,"""carrier billing) and not to credit card transactions in Windows Phone Store we are publishing the same apps in Windows Phone Store and Windows App Store.""",0
728_1,"""Because we calculate our prices in ___ we___ more""",0
728_2,"""Currently it is not possible to change the package identity name of an app once it has been published, which is a bit frustrating.""",0
729_1,"""Users don't like to wait, when they click on app.""",0
729_2,"""Splash screen for app is making my consumers wait for actual screens to load.""",0
729_3,"""this gives them impression that my APP is slow.""",0
730_1,"""I think Microsoft needs to re-consider about having splash screens.""",1
730_2,"""when users click on APP they should directly see UI no lags.""",1
730_3,"""Let normal http:// URIs to be able to send notifications to the app using the window.external.notify and not only the https:// URIs.""",0
730_4,"""Give the power to the developer to decide if a page is allowed to use the ScriptNotify event or not!""",0
731_1,"""Extend the MediaElement to support YouTube videos, so simple.""",1
731_2,"""Most probably you will have to collaborate with Google but this is the challenge!""",0
731_3,"""Unleash the developers power, the Store is going to win!""",0
731_4,"""This bug is easy to reproduce: var wbmp = new WriteableBitmap(480,640); await wbmp.SetSourceAsync(stream); //the stream comes from a picture with larger size, i.e.""",0
